X, Z
   0.970154,    0.004454
   1.000000,   -0.003551
   0.993531,   -0.001905
   0.982616,    0.001009
   0.956216,    0.008426
   0.941046,    0.012861
   0.924944,    0.017685
   0.908124,    0.022827
   0.890848,    0.028176
   0.873273,    0.033666
   0.855581,    0.039242
   0.837864,    0.044833
   0.820321,    0.050367
   0.803072,    0.055725
   0.786126,    0.060872
   0.769480,    0.065745
   0.753018,    0.070357
   0.736736,    0.074699
   0.720538,    0.078767
   0.704417,    0.082584
   0.688351,    0.086120
   0.672282,    0.089402
   0.656242,    0.092419
   0.640156,    0.095161
   0.624013,    0.097661
   0.607815,    0.099897
   0.591490,    0.101890
   0.575079,    0.103656
   0.558556,    0.105177
   0.541896,    0.106487
   0.525147,    0.107577
   0.508253,    0.108451
   0.491257,    0.109144
   0.474199,    0.109630
   0.457047,    0.109933
   0.439890,    0.110057
   0.422698,    0.109976
   0.405478,    0.109726
   0.388295,    0.109284
   0.371077,    0.108648
   0.353892,    0.107844
   0.336733,    0.106836
   0.319578,    0.105657
   0.302516,    0.104293
   0.285487,    0.102733
   0.268574,    0.101008
   0.251785,    0.099072
   0.235123,    0.096962
   0.218679,    0.094650
   0.202409,    0.092135
   0.186434,    0.089437
   0.170750,    0.086520
   0.155466,    0.083441
   0.140666,    0.080162
   0.126449,    0.076755
   0.112974,    0.073215
   0.100321,    0.069605
   0.088639,    0.065960
   0.077949,    0.062320
   0.068306,    0.058763
   0.052018,    0.055290
   0.059686,    0.051963
   0.045244,    0.048774
   0.039256,    0.045699
   0.033952,    0.042752
   0.029260,    0.039898
   0.025112,    0.037094
   0.021440,    0.034323
   0.018193,    0.031573
   0.015329,    0.028837
   0.012802,    0.026126
   0.010564,    0.023460
   0.008589,    0.020844
   0.006864,    0.018276
   0.005368,    0.015759
   0.004078,    0.013299
   0.002982,    0.010897
   0.002073,    0.008553
   0.001343,    0.006265
   0.000783,    0.004038
   0.000385,    0.001871
   0.000156,   -0.000228
   0.000104,   -0.002266
   0.000248,   -0.004308
   0.000649,   -0.006359
   0.001430,   -0.008356
   0.002684,   -0.010185
   0.004349,   -0.011812
   0.006271,   -0.013353
   0.008368,   -0.014921
   0.010640,   -0.016532
   0.013147,   -0.018127
   0.015949,   -0.019656
   0.019075,   -0.021147
   0.022543,   -0.022667
   0.026393,   -0.024254
   0.030699,   -0.025903
   0.035552,   -0.027628
   0.041042,   -0.029488
   0.047271,   -0.031497
   0.054384,   -0.033617
   0.062542,   -0.035874
   0.071846,   -0.038293
   0.082395,   -0.040802
   0.094223,   -0.043407
   0.107228,   -0.046025
   0.121332,   -0.048620
   0.136280,   -0.051150
   0.151928,   -0.053560
   0.168032,   -0.055847
   0.184490,   -0.057951
   0.201177,   -0.059905
   0.218025,   -0.061650
   0.235053,   -0.063227
   0.252211,   -0.064613
   0.269553,   -0.065846
   0.286934,   -0.066931
   0.304408,   -0.067832
   0.321952,   -0.068603
   0.339502,   -0.069202
   0.357139,   -0.069652
   0.374760,   -0.069965
   0.392414,   -0.070102
   0.410128,   -0.070108
   0.427831,   -0.069960
   0.445620,   -0.069661
   0.463397,   -0.069260
   0.481073,   -0.068715
   0.498696,   -0.068022
   0.516219,   -0.067180
   0.533692,   -0.066165
   0.551102,   -0.065004
   0.568420,   -0.063658
   0.585769,   -0.062121
   0.603104,   -0.060436
   0.620396,   -0.058560
   0.637784,   -0.056478
   0.655305,   -0.054221
   0.672965,   -0.051809
   0.690685,   -0.049278
   0.708450,   -0.046583
   0.726421,   -0.043729
   0.744528,   -0.040785
   0.762713,   -0.037740
   0.780972,   -0.034621
   0.799215,   -0.031454
   0.817336,   -0.028249
   0.835325,   -0.024957
   0.853224,   -0.021613
   0.870813,   -0.018270
   0.887857,   -0.015011
   0.904028,   -0.012002
   0.919182,   -0.009394
   0.933421,   -0.007255
   0.946844,   -0.005605
   0.959566,   -0.004445
   0.971616,   -0.003724
   0.982944,   -0.003381
   0.993458,   -0.003372
   1.000000,   -0.003551
